transect,trmod1,trdate
libe1.1,t,10/1/2009
libe1.1,s,8/10/2010
libe1.1,t,12/12/2011
libe1.1,s,7/14/2014
libe1.1,r,12/11/2015
libe1.2,t,12/15/2011
libe1.2,r,5/13/2013
libe1.2,s,7/14/2014
libe1.2,r,11/24/2015
libe3.1,s,8/10/2010
libe3.1,h,10/31/2011
libe3.1,r,4/22/2013
libe3.1,s,7/14/2014
libe3.1,r,12/10/2015
libe3.2,t,5/21/2011
libe3.2,r,12/10/2012
libe3.2,s,7/30/2014
libe3.2,r,11/17/2015
libe4.1,t,3/10/2010
libe4.1,s,8/10/2010
libe4.1,s,7/14/2014
libe4.1,r,11/24/2015
libe5.1,h,11/1/2010
libe5.1,r,5/25/2011
libe5.1,r,5/14/2012
libe5.1,r,4/22/2013
libe5.1,s,8/20/2014
libe5.1,r,11/10/2015
libe5.2,t,11/1/2009
libe5.2,r,4/28/2011
libe5.2,w,1/18/2013
libe5.2,s,8/20/2014
libe5.2,r,11/17/2015
libe5.3,w,1/5/2010
libe5.3,w,1/18/2013
libe5.3,t,3/5/2013
libe5.3,s,8/28/2015
libe5.3,r,11/10/2016
libe5.4,t,7/20/2011
libe5.4,r,5/14/2012
libe5.4,s,8/28/2014
loba3.1,t,2/1/2004
loba3.1,r,11/22/2006
loba3.1,r,11/5/2009
loba3.1,r,12/6/2012
loba7.1,t,2/1/2004
loba7.1,t,10/1/2013
loba9.1,t,2/1/2004
loba9.1,t,10/1/2013
loba9.1,r,4/29/2015
loba9.1,r,10/27/2017
lobe10.,h,1/6/2017
lobe3.1,r,5/24/2013
lobe4.1,w,2/6/2007
lobe4.1,w,3/3/2010
lobe4.1,r,5/20/2013
lobe4.1,w,2/9/2015
lobe4.1,r,4/28/2016
lobe5.1,w,2/6/2007
lobe5.1,r,2/9/2008
lobe5.1,w,3/3/2010
lobe5.1,r,5/3/2011
lobe5.1,r,11/21/2013
lobe5.1,w,2/19/2015
lobe5.1,r,4/15/2016
lobe5.2,s,4/7/2009
lobe5.2,r,5/11/2010
lobe5.2,h,2/29/2016
lobe5.3,s,4/7/2009
lobe5.3,r,6/16/2010
lobe5.3,r,12/17/2013
lobe5.3,w,2/19/2015
lobe5.4,s,4/7/2009
lobe5.4,r,12/5/2013
lobe6.1,t,2/15/2013
lobe6.1,r,4/16/2014
lobe6.2,h,2/27/2013
lobe9.1,t,10/1/2014
lobe9.1,r,11/21/2016
oncr1.1,s,9/29/2006
oncr1.1,t,12/31/2010
oncr1.1,w,3/7/2014
oncr1.1,w,2/17/2016
oncr1.2,t,5/1/2006
oncr1.2,w,1/8/2007
oncr1.2,r,5/16/2008
oncr1.2,r,4/26/2011
oncr1.2,s,9/24/2012
oncr1.2,r,11/18/2013
oncr1.2,s,7/19/2017
oncr1.3,h,9/1/2006
oncr1.3,s,6/9/2009
oncr1.3,r,11/18/2010
oncr1.3,s,7/13/2017
oncr2.1,s,7/10/2008
oncr2.1,r,11/13/2009
oncr2.1,s,8/8/2013
oncr2.1,r,11/18/2013
oncr2.1,r,11/17/2014
oncr4.1,s,8/2/2010
oncr4.1,r,11/14/2011
oncr4.1,t,2/28/2014
oncr4.1,r,4/25/2017
oncr6.0,t,1/12/2017
oncr7.0,r,4/16/2018
slcr2.1,t,12/1/2004
slcr2.1,r,11/7/2006
slcr2.1,w,2/27/2017
slcr3.1,t,12/1/2006
slcr3.1,s,7/20/2016
slcr3.2,t,12/1/2006
slcr3.2,r,11/21/2007
slcr3.2,r,5/29/2012
slcr3.2,s,7/20/2016
slcr3.2,r,11/14/2017
slcr7.1,w,2/1/2002
slcr7.1,r,4/24/2009
slcr7.1,r,5/10/2013
slcr7.1,s,8/4/2016
slcr7.1,r,11/7/2017
slcr9.1,t,6/1/2008
slcr9.1,r,12/9/2008
slcr9.1,r,12/4/2012
upbe1.1,t,5/1/2007
upbe1.1,w,1/25/2010
upbe1.1,t,5/16/2011
upbe1.1,w,3/3/2016
upbe1.1,t,7/15/2018
upbe1.2,t,2/1/2008
upbe1.2,r,6/19/2009
upbe1.2,r,11/19/2012
upbe1.2,r,11/30/2015
upbe2.1,w,2/17/2003
upbe2.1,t,7/1/2007
upbe2.1,w,12/1/2007
upbe2.1,r,11/12/2009
upbe2.1,w,1/13/2016
upbe2.3,t,2/1/2008
upbe2.3,r,11/29/2012
upbe2.3,r,11/10/2014
upbe3.1,t,11/25/2008
upbe3.1,r,11/16/2010
upbe5.1,t,4/26/2006
upbe5.1,w,3/17/2009
upbe5.1,t,3/30/2012
upbe5.1,r,5/14/2013
upbe5.1,s,8/19/2015
